Date,Open,High,Low,Close,Adj Close,Volume,Neg,Neut,Pos
17/01/2017,807.080017,807.140015,800.369995,804.609985,804.609985,1355800,0.381713224,0.768881016,0.618286776
18/01/2017,805.809998,806.205017,800.98999,806.070007,806.070007,1294400,0.381713224,0.768881016,0.618286776
19/01/2017,805.119995,809.47998,801.799988,802.174988,802.174988,919300,0.381713224,0.768881016,0.618286776
20/01/2017,806.909973,806.909973,801.690002,805.02002,805.02002,1670000,0.381713224,0.768881016,0.618286776
23/01/2017,807.25,820.869995,803.73999,819.309998,819.309998,1963600,0.381713224,0.768881016,0.618286776
24/01/2017,822.299988,825.900024,817.820984,823.869995,823.869995,1474000,0.381713224,0.768881016,0.618286776
25/01/2017,829.619995,835.77002,825.059998,835.669983,835.669983,1494500,0.381713224,0.768881016,0.618286776
26/01/2017,837.809998,838,827.01001,832.150024,832.150024,2973900,0.381713224,0.768881016,0.618286776
27/01/2017,834.710022,841.950012,820.440002,823.309998,823.309998,2965800,0.381713224,0.768881016,0.618286776
30/01/2017,814.659973,815.840027,799.799988,802.320007,802.320007,3246600,0.381713224,0.768881016,0.618286776
31/01/2017,796.859985,801.25,790.52002,796.789978,796.789978,2160600,0.381713224,0.768881016,0.618286776
01/02/2017,799.679993,801.190002,791.190002,795.695007,795.695007,2029700,0.373932768,0.719862322,0.626067232
02/02/2017,793.799988,802.700012,792,798.530029,798.530029,1532100,0.373932768,0.719862322,0.626067232
03/02/2017,802.98999,806,800.369995,801.48999,801.48999,1463400,0.373932768,0.719862322,0.626067232
06/02/2017,799.700012,801.669983,795.25,801.340027,801.340027,1184500,0.373932768,0.719862322,0.626067232
07/02/2017,803.98999,810.5,801.780029,806.969971,806.969971,1241200,0.373932768,0.719862322,0.626067232
08/02/2017,807,811.840027,803.190002,808.380005,808.380005,1155300,0.373932768,0.719862322,0.626067232
09/02/2017,809.51001,810.659973,804.539978,809.559998,809.559998,989700,0.373932768,0.719862322,0.626067232
10/02/2017,811.700012,815.25,809.780029,813.669983,813.669983,1135000,0.373932768,0.719862322,0.626067232
13/02/2017,816,820.958984,815.48999,819.23999,819.23999,1213300,0.373932768,0.719862322,0.626067232
14/02/2017,819,823,816,820.450012,820.450012,1053600,0.373932768,0.719862322,0.626067232
15/02/2017,819.359985,823,818.469971,818.97998,818.97998,1313600,0.373932768,0.719862322,0.626067232
16/02/2017,819.929993,824.400024,818.97998,824.159973,824.159973,1287600,0.373932768,0.719862322,0.626067232
17/02/2017,823.02002,828.070007,821.655029,828.070007,828.070007,1611000,0.373932768,0.719862322,0.626067232
21/02/2017,828.659973,833.450012,828.349976,831.659973,831.659973,1262300,0.373932768,0.719862322,0.626067232
22/02/2017,828.659973,833.25,828.640015,830.76001,830.76001,982900,0.373932768,0.719862322,0.626067232
23/02/2017,830.119995,832.460022,822.880005,831.330017,831.330017,1472800,0.373932768,0.719862322,0.626067232
24/02/2017,827.72998,829,824.200012,828.640015,828.640015,1392200,0.373932768,0.719862322,0.626067232
27/02/2017,824.549988,830.5,824,829.280029,829.280029,1101500,0.373932768,0.719862322,0.626067232
28/02/2017,825.609985,828.539978,820.200012,823.210022,823.210022,2260800,0.373932768,0.719862322,0.626067232
01/03/2017,828.849976,836.255005,827.26001,835.23999,835.23999,1496500,0.385475274,0.726819136,0.614524726
02/03/2017,833.849976,834.51001,829.640015,830.630005,830.630005,942500,0.385475274,0.726819136,0.614524726
03/03/2017,830.559998,831.359985,825.750977,829.080017,829.080017,896400,0.385475274,0.726819136,0.614524726
06/03/2017,826.950012,828.880005,822.400024,827.780029,827.780029,1109000,0.385475274,0.726819136,0.614524726
07/03/2017,827.400024,833.409973,826.52002,831.909973,831.909973,1037600,0.385475274,0.726819136,0.614524726
08/03/2017,833.51001,838.150024,831.789978,835.369995,835.369995,989800,0.385475274,0.726819136,0.614524726
